Legal_Entity_Structure ,Missing_Identifier,PartySharingSameAddress,HighestRiskCountry,HIFCA_ZIP,MultipleCards,SARs,TransactionAlters,SARS_LEGALSERVICES
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Swaziland,Yes,Party has 5 or more authorized users,2,3,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Bangladesh,Yes,Party has 5 or more authorized users,2,2,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Another party is sharing this party's address,United States of America,Yes,Party has 5 or more authorized users,0,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,No other unrelated party has this address,Turkmenistan,Yes,Party has 5 or more authorized users,2,2,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,United States of America,Yes,Party has 5 or more authorized users,2,3,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Laos,Yes,Party has 5 or more authorized users,5,1,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Laos,No,Party has 5 or more authorized users,3,2,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Another party is sharing this party's address,Mali,Yes,Party does not have 5 or more authorized users,1,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,South Sudan,Yes,Party does not have 5 or more authorized users,1,1,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,South Sudan,Yes,Party does not have 5 or more authorized users,3,2,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,Maldives,Yes,Party has 5 or more authorized users,2,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,No other unrelated party has this address,Indonesia,No,Party has 5 or more authorized users,4,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Two or more unrelated parties share the address,South Sudan,No,Party does not have 5 or more authorized users,1,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,Laos,Yes,Party does not have 5 or more authorized users,1,3,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,No other unrelated party has this address,Congo,No,Party does not have 5 or more authorized users,3,3,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Afghanistan,Yes,Party has 5 or more authorized users,5,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Mali,No,Party does not have 5 or more authorized users,2,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Uzbekistan,Yes,Party has 5 or more authorized users,3,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,South Sudan,Yes,Party has 5 or more authorized users,0,4,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Honduras ,No,Party does not have 5 or more authorized users,4,1,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,Tajikistan,No,Party does not have 5 or more authorized users,5,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,Another party is sharing this party's address,Venezuela,No,Party has 5 or more authorized users,4,0,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,No other unrelated party has this address,Zambia,Yes,Party has 5 or more authorized users,5,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,No other unrelated party has this address,Venezuela,No,Party does not have 5 or more authorized users,4,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Guatemala,Yes,Party has 5 or more authorized users,0,0,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Swaziland,No,Party has 5 or more authorized users,5,4,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Another party is sharing this party's address,Afghanistan,Yes,Party has 5 or more authorized users,0,5,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Iraq,Yes,Party has 5 or more authorized users,4,3,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Panama,No,Party does not have 5 or more authorized users,0,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Mali,Yes,Party has 5 or more authorized users,2,5,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Mali,No,Party has 5 or more authorized users,5,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Bangladesh,No,Party does not have 5 or more authorized users,2,5,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Congo,No,Party does not have 5 or more authorized users,1,1,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,No other unrelated party has this address,Cabo Verde,No,Party has 5 or more authorized users,5,1,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Mali,No,Party does not have 5 or more authorized users,0,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Bangladesh,No,Party has 5 or more authorized users,1,2,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Ecuador,No,Party has 5 or more authorized users,3,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,United States of America,No,Party does not have 5 or more authorized users,5,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Another party is sharing this party's address,Tajikistan,No,Party has 5 or more authorized users,1,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,No other unrelated party has this address,Laos,No,Party does not have 5 or more authorized users,1,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Honduras ,No,Party has 5 or more authorized users,4,3,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,No other unrelated party has this address,Mali,Yes,Party has 5 or more authorized users,5,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Mauritius,No,Party has 5 or more authorized users,4,0,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,No other unrelated party has this address,Venezuela,No,Party has 5 or more authorized users,1,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,No other unrelated party has this address,Cambodia,Yes,Party has 5 or more authorized users,2,3,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Mauritius,Yes,Party has 5 or more authorized users,2,3,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Panama,Yes,Party has 5 or more authorized users,0,4,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Iraq,No,Party has 5 or more authorized users,5,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Maldives,No,Party has 5 or more authorized users,1,4,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Cabo Verde,No,Party does not have 5 or more authorized users,0,3,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Guatemala,Yes,Party does not have 5 or more authorized users,0,3,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Maldives,Yes,Party has 5 or more authorized users,1,3,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Burma (Myanmar),No,Party does not have 5 or more authorized users,2,2,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Guatemala,No,Party has 5 or more authorized users,1,4,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Honduras ,Yes,Party does not have 5 or more authorized users,1,3,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Cabo Verde,Yes,Party has 5 or more authorized users,5,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Panama,No,Party has 5 or more authorized users,2,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Tajikistan,Yes,Party has 5 or more authorized users,1,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Congo,Yes,Party has 5 or more authorized users,5,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,Another party is sharing this party's address,Panama,Yes,Party does not have 5 or more authorized users,0,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Ecuador,No,Party has 5 or more authorized users,0,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Bangladesh,Yes,Party does not have 5 or more authorized users,5,3,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Another party is sharing this party's address,Zambia,No,Party has 5 or more authorized users,4,3,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Congo,No,Party does not have 5 or more authorized users,4,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Turkmenistan,Yes,Party does not have 5 or more authorized users,5,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Mauritius,Yes,Party does not have 5 or more authorized users,3,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Ecuador,Yes,Party has 5 or more authorized users,5,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,Congo,Yes,Party has 5 or more authorized users,0,1,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Laos,Yes,Party does not have 5 or more authorized users,5,2,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Congo,Yes,Party does not have 5 or more authorized users,3,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,Another party is sharing this party's address,North Korea,Yes,Party has 5 or more authorized users,4,4,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Cabo Verde,No,Party has 5 or more authorized users,2,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,North Korea,No,Party does not have 5 or more authorized users,2,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,Another party is sharing this party's address,Afghanistan,Yes,Party does not have 5 or more authorized users,0,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Uzbekistan,Yes,Party has 5 or more authorized users,3,3,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,South Sudan,No,Party has 5 or more authorized users,1,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Honduras ,Yes,Party does not have 5 or more authorized users,0,1,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Another party is sharing this party's address,Swaziland,No,Party has 5 or more authorized users,4,0,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Another party is sharing this party's address,Saint Kitts and Nevis,No,Party has 5 or more authorized users,5,1,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,Guatemala,No,Party does not have 5 or more authorized users,3,2,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Tajikistan,Yes,Party has 5 or more authorized users,5,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Turkmenistan,Yes,Party does not have 5 or more authorized users,4,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,No other unrelated party has this address,Saint Kitts and Nevis,Yes,Party has 5 or more authorized users,3,5,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Maldives,Yes,Party does not have 5 or more authorized users,2,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Saint Kitts and Nevis,No,Party does not have 5 or more authorized users,1,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,North Korea,No,Party has 5 or more authorized users,4,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Chad,No,Party does not have 5 or more authorized users,0,0,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Congo,Yes,Party has 5 or more authorized users,0,2,Party has no SAR related to Legal Services Processes
